Date,Products,ISIN,Place,Exec Place,Qty,Buying_value,Actual_value,Total_Actual_value_for_day,Total_Buying_value_for_day,Product_pct_in_portfolio_for_day,Value_diff,Percentage_diff
2024-12-05,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1836.0000610351562,1839.000061,0.0,0.0,
2024-12-06,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1843.6000061035156,1839.000061,0.0,0.0,
2024-12-07,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1843.6000061035156,1839.000061,0.0,0.0,
2024-12-08,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1843.6000061035156,1839.000061,0.0,0.0,
2024-12-09,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1836.3999938964844,1839.000061,0.0,0.0,
2024-12-10,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1835.0,1839.000061,0.0,0.0,
2024-12-11,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1825.8000183105469,1839.000061,0.0,0.0,
2024-12-12,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1813.800048828125,1839.000061,0.0,0.0,
2024-12-13,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1783.3999633789062,1839.000061,0.0,0.0,
2024-12-14,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1783.3999633789062,1839.000061,0.0,0.0,
2024-12-15,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1783.3999633789062,1839.000061,0.0,0.0,
2024-12-16,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1776.3999938964844,1839.000061,0.0,0.0,
2024-12-17,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1834.7999572753906,1839.000061,0.0,0.0,
2024-12-18,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1836.0000610351562,1839.000061,0.0,0.0,
2024-12-19,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1830.0,1839.000061,0.0,0.0,
2024-12-20,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1825.5999755859375,1839.000061,0.0,0.0,
2024-12-21,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1825.5999755859375,1839.000061,0.0,0.0,
2024-12-22,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1825.5999755859375,1839.000061,0.0,0.0,
2024-12-23,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1835.5999755859375,1839.000061,0.0,0.0,
2024-12-24,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1835.0,1839.000061,0.0,0.0,
2024-12-25,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1835.0,1839.000061,0.0,0.0,
2024-12-26,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1835.0,1839.000061,0.0,0.0,
2024-12-27,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1865.5999755859375,1839.000061,0.0,0.0,
2024-12-28,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1865.5999755859375,1839.000061,0.0,0.0,
2024-12-29,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1865.5999755859375,1839.000061,0.0,0.0,
2024-12-30,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1862.7999877929688,1839.000061,0.0,0.0,
2024-12-31,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1874.7999572753906,1839.000061,0.0,0.0,
2025-01-01,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1874.7999572753906,1839.000061,0.0,0.0,
2025-01-02,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1886.3999938964844,1839.000061,0.0,0.0,
2025-01-03,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1857.4000549316406,1839.000061,0.0,0.0,
2025-01-04,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,1857.4000549316406,1839.000061,0.0,0.0,
2025-01-05,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,6420.144958496094,6403.744965,0.0,0.0,
2025-01-06,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,6609.8443603515625,6403.744965,0.0,0.0,
2025-01-07,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,6644.881210327148,6403.744965,0.0,0.0,
2025-01-08,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,6641.281204223633,6403.744965,0.0,0.0,
2025-01-09,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,6728.632583618164,6403.744965,0.0,0.0,
2025-01-10,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,6663.532485961914,6403.744965,0.0,0.0,
2025-01-11,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,6663.532485961914,6403.744965,0.0,0.0,
2025-01-12,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,6663.532485961914,6403.744965,0.0,0.0,
2025-01-13,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,6618.486862182617,6403.744965,0.0,0.0,
2025-01-14,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,6602.941207885742,6403.744965,0.0,0.0,
2025-01-15,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,8556.515350341797,8269.14502,0.0,0.0,
2025-01-16,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,8591.355209350586,8269.14502,0.0,0.0,
2025-01-17,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,8737.453422546387,8269.14502,0.0,0.0,
2025-01-18,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,8737.453422546387,8269.14502,0.0,0.0,
2025-01-19,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,8737.453422546387,8269.14502,0.0,0.0,
2025-01-20,ASML,NL0010273215,EAM,XAMS,0,0.0,0.0,20467.08179473877,19944.06641,0.0,0.0,
